provincia,municipio,comuna
Cabinda,Cabinda,
Cabinda,Cacongo,Lândana
Cabinda,Cacongo,Dinge
Cabinda,Buco Zau,
Cabinda,Belize,Belize
Cabinda,Belize,Luali
Cabinda,Miconje,
Cabinda,Massabi,
Cabinda,Necuto,Necuto
Cabinda,Necuto,Inhuca
Cabinda,Tendo Zinze,Tando Zinze
Cabinda,Tendo Zinze,Malembo
Cabinda,Liambo,
Cabinda,Ngolo,
Zaire,Soyo,Soyo
Zaire,Soyo,Pedra de Feitiço
Zaire,Mbanza Kongo,Mbamza Kongo
Zaire,Mbanza Kongo,Madimba
Zaire,Mbanza Kongo,Caluca
Zaire,Mbanza Kongo,Quiende
Zaire,Nzeto,Nzeto
Zaire,Nzeto,Musserra
Zaire,Tomboco,Tomboco
Zaire,Tomboco,Quinsimba
Zaire,Tomboco,Quinzau
Zaire,Cuimba,Cuimba
Zaire,Cuimba,Buela
Zaire,Cuimba,Luvaca
Zaire,Nóqui,
Zaire,Luvo,
Zaire,Lufico,Lufico
Zaire,Lufico,Mpala
Zaire,Quêlo,
Zaire,Serra de Canda,
Zaire,Quindeje,Quibala-Norte
Zaire,Quindeje,Quindeje
Uíge,Dange Quitexe,Quitexe
Uíge,Dange Quitexe,Aldeia Viçosa
Uíge,Bungo,
Uíge,Ambuíla,
Uíge,Negage,Negage
Uíge,Negage,Quisseque
Uíge,Puri,
Uíge,Maquela do Zombo,Maquela do Zombo
Uíge,Maquela do Zombo,Quibocolo
Uíge,Damba,Damba
Uíge,Damba,Petecusso
Uíge,Damba,Camatambo
Uíge,Sanza Pombo,Sanza Pombo
Uíge,Sanza Pombo,Uamba
Uíge,Sanza Pombo,Cuilo Pombo
Uíge,Sanza Pombo,Alfândega
Uíge,Bembe,Bembe
Uíge,Bembe,Mabaia
Uíge,Milunga,Milunga
Uíge,Milunga,Macocola
Uíge,Songo,Songo
Uíge,Songo,Quivuenga
Uíge,Quimbele,Quimbele
Uíge,Quimbele,Icoca
Uíge,Cangola,Cangola
Uíge,Cangola,Bengo
Uíge,Cangola,Caiongo
Uíge,Uíge,Uíge
Uíge,Uíge,Casseche
Uíge,Uíge,Luanga
Uíge,Uíge,Cancungo
Uíge,Mucaba,Mucaba
Uíge,Mucaba,Uando Mucaba
Uíge,Nova Esperança,Nova Esperança
Uíge,Nova Esperança,Buenga-Sul
Uíge,Nova Esperança,Cuilo Camboso
Uíge,Sacandica,Sacandica
Uíge,Sacandica,Cuilo Futa
Uíge,Sacandica,Béu
Uíge,Nsosso,
Uíge,Lucunga,
Uíge,Quipedro,
Uíge,Massau,Massau
Uíge,Massau,Macolo
Uíge,Vista Alegre,Vista Alegre
Uíge,Vista Alegre,Cambamba
Uíge,Alto Zaza,Alto Zaza
Uíge,Alto Zaza,Cuango Calumbo
Bengo,Dande,Caxito
Bengo,Dande,Mabubas
Bengo,Dande,Quicabo
Bengo,Quibaxe,Quibaxe
Bengo,Quibaxe,Paredes
Bengo,Quibaxe,Coxe
Bengo,Muxaluando,Muxaluando
Bengo,Muxaluando,Quixico
Bengo,Muxaluando,Cage Mazumbo
Bengo,Bula Atumba,Bula Atumba
Bengo,Bula Atumba,Quiage
Bengo,Ambriz,Ambriz
Bengo,Ambriz,Bela Vista
Bengo,Ambriz,Tabi
Bengo,Pango Aluquém,Pango Aluquém
Bengo,Pango Aluquém,Cazuangongo
Bengo,Barra do Dande,
Bengo,Piri,
Bengo,Quicunzo,
Bengo,Nambuangongo,Gombe
Bengo,Nambuangongo,Canacassala
Bengo,Nambuangongo,Zala
Bengo,Úcua,
Bengo,Panguila,
Luanda,Ingombota,
Luanda,Cacuaco,Cacuaco
Luanda,Cacuaco,Kikolo
Luanda,Cazenga,Cazenga
Luanda,Cazenga,Kima Kieza
Luanda,Viana,
Luanda,Belas,Barra do Cuanza
Luanda,Belas,Cabolombo
Luanda,Belas,Ramiros
Luanda,Kilamba Kiaxi,Golfe
Luanda,Kilamba Kiaxi,Nova Vida
Luanda,Talatona,Benfica
Luanda,Talatona,Talatona
Luanda,Mussulo,
Luanda,Sambizanga,
Luanda,Rangel,
Luanda,Samba,
Luanda,Camama,
Luanda,Mulenvos,
Luanda,Kilamba,Kilamba
Luanda,Kilamba,Vila Flôr
Luanda,Hoji ya Henda,
Icolo e Bengo,Catete,Catete
Icolo e Bengo,Catete,Cassoneca
Icolo e Bengo,Catete,Caculo Cahango
Icolo e Bengo,Catete,Caxicane
Icolo e Bengo,Quiçama,Muxima
Icolo e Bengo,Quiçama,Quixinge
Icolo e Bengo,Quiçama,Demba Chio
Icolo e Bengo,Quiçama,Mumbondo
Icolo e Bengo,Calumbo,
Icolo e Bengo,Cabiri,
Icolo e Bengo,Cabo Ledo,
Icolo e Bengo,Bom Jesus,
Icolo e Bengo,Sequele,Funda
Icolo e Bengo,Sequele,Quifangondo
Icolo e Bengo,Sequele,Sequele
Cuanza Norte,Cazengo,Ndalatando
Cuanza Norte,Cazengo,Caculo Camuiza
Cuanza Norte,Golungo Alto,Golungo Alto
Cuanza Norte,Golungo Alto,Cambondo
Cuanza Norte,Golungo Alto,Quilombo quía Puto
Cuanza Norte,Cambambe,Dondo
Cuanza Norte,Cambambe,Dange ya Menha
Cuanza Norte,Cambambe,São Pedro da Quilemba
Cuanza Norte,Samba Cajú,Samba Cajú
Cuanza Norte,Samba Cajú,Samba Lucala
Cuanza Norte,Ambaca,Camabatela
Cuanza Norte,Ambaca,Máua
Cuanza Norte,Ambaca,Bindo
Cuanza Norte,Lucala,Lucala
Cuanza Norte,Lucala,Quiangombe
Cuanza Norte,Banga,Banga
Cuanza Norte,Banga,Cariamba
Cuanza Norte,Bolongongo,
Cuanza Norte,Quiculungo,
Cuanza Norte,Ngonguembo,Quilombo dos Dembos
Cuanza Norte,Ngonguembo,Camame
Cuanza Norte,Ngonguembo,Cavunga
Cuanza Norte,Massangano,Massangano
Cuanza Norte,Massangano,Zanza do Itombe
Cuanza Norte,Cêrca,
Cuanza Norte,Tango,
Cuanza Norte,Terreiro,Quiquiemba
Cuanza Norte,Terreiro,Terreiro
Cuanza Norte,Caculo Cabaça,
Cuanza Norte,Luinga,
Cuanza Sul,Sumbe,Sumbe
Cuanza Sul,Sumbe,Quicombo
Cuanza Sul,Calulo,Calulo
Cuanza Sul,Calulo,Cabuta
Cuanza Sul,Gabela,Gabela
Cuanza Sul,Gabela,Assango
Cuanza Sul,Cassongue,Cassongue
Cuanza Sul,Cassongue,Atóme
Cuanza Sul,Cassongue,Dumbi
Cuanza Sul,Porto Amboím,Porto Amboím
Cuanza Sul,Porto Amboím,Capolo
Cuanza Sul,Quibala,Quibala
Cuanza Sul,Quibala,Dala Cachibo
Cuanza Sul,Seles,Seles
Cuanza Sul,Seles,Botera
Cuanza Sul,Waku Kungo,
Cuanza Sul,Mussende,Mussende
Cuanza Sul,Mussende,Quipaxi
Cuanza Sul,Quilenda,
Cuanza Sul,Ebo,Ebo
Cuanza Sul,Ebo,Cassanje
Cuanza Sul,Conda,Conda
Cuanza Sul,Conda,Cunjo
Cuanza Sul,Quirimbo,
Cuanza Sul,Munenga,
Cuanza Sul,Quissongo,
Cuanza Sul,Gungo,
Cuanza Sul,Sanga,
Cuanza Sul,Gangula,
Cuanza Sul,Pambangala,
Cuanza Sul,Condé,
Cuanza Sul,Amboiva,
Cuanza Sul,Lonhe,Lonhe
Cuanza Sul,Lonhe,Cariango
Cuanza Sul,Quenha,
Cuanza Sul,Boa Entrada,
Malanje,Calandula,Calandula
Malanje,Calandula,Cota
Malanje,Malanje,Malanje
Malanje,Malanje,Lombe
Malanje,Cacuso,Cacuso
Malanje,Cacuso,Soqueco
Malanje,Massango,
Malanje,Marimba,Marimba
Malanje,Marimba,Mangando
Malanje,Quela,Quela
Malanje,Quela,Bângalas
Malanje,Quirina,Quirina
Malanje,Quirina,Sautar
Malanje,Cangandala,Cangandala
Malanje,Cangandala,Caribo
Malanje,Cangandala,Culamagia
Malanje,Cahombo,Cahombo
Malanje,Cahombo,Micanda
Malanje,Kunda dya Baze,Kunda dya Baze
Malanje,Kunda dya Baze,Lemba
Malanje,Cambundi Catembo,Cambundi Catembo
Malanje,Cambundi Catembo,Dumba Cambango
Malanje,Caculama,Caculama
Malanje,Caculama,Caxinga
Malanje,Kiwaba Nzoji,Kiwaba Nzoji
Malanje,Kiwaba Nzoji,Mufuma
Malanje,Luquembo,Luquembo
Malanje,Luquembo,Dombo wa Zanga
Malanje,Cateco Cangola,
Malanje,Mbanji ya Ngola,Mbanji ya Ngola
Malanje,Mbanji ya Ngola,Cabombo
Malanje,Cuale,
Malanje,Pungu a Ndongo,
Malanje,Ngola Luiji,Ngola Luiji
Malanje,Ngola Luiji,Cambaxe
Malanje,Quihuhu,Quihuhu
Malanje,Quihuhu,Quinguengue
Malanje,Xandel,Xandel
Malanje,Xandel,Moma
